"","logFC","PValue","FDR"
"MED13",0.345429156487152,0.000198763816832059,0.014779859993131
"EMILIN2",0.538160663911842,0.00019959102446933,0.014779859993131
"TLK2",0.266087860384876,0.000200946588731917,0.0147807150436438
"RAP2B",0.321942444781457,0.00020127157326048,0.0147807150436438
"SETX",0.460734896448852,0.000201993601132216,0.0147807150436438
"ADAT3",1.30508089827345,0.000203981400395983,0.0147807150436438
"DMWD",0.351493092996185,0.000205383654758987,0.0147807150436438
"RUNX1",0.476112568996468,0.000205388153067562,0.0147807150436438
"ATOSA",0.715956411638314,0.000211912873308195,0.0149968270544724
"KLC1",0.398206324831229,0.00021463714283153,0.0149968270544724
"SMNDC1",0.367615779123163,0.000214967383120232,0.0149968270544724
"ZC3HAV1",1.17169056152656,0.000215132494783568,0.0149968270544724
"PIK3IP1",1.00246037563691,0.000216314939741423,0.0149968270544724
"RSAD2",1.54042510245544,0.000216344937747633,0.0149968270544724
"DLX2",1.45087835055023,0.000217040410674346,0.0149968270544724
"ZXDB",0.328063645519555,0.000218959018827581,0.0149968270544724
"KLHL24",0.429154733367517,0.000219025593379847,0.0149968270544724
"B3GNT5",0.473521006972345,0.000219388737357839,0.0149968270544724
"ZNF628",0.757654519133249,0.00022048586603379,0.0149968270544724
"JUN",1.24641820940602,0.000221532283944701,0.0149968270544724
"JDP2",0.436000415989913,0.000223796458553836,0.0149968270544724
"HBP1",0.494435025111937,0.000223854169098239,0.0149968270544724
"PPP1R15B",0.312731260183866,0.000224065594025861,0.0149968270544724
"NPAS4",6.93883170708814,0.000225267927670174,0.0149968270544724
"OTUD1",1.09384707440955,0.00022682031073556,0.0150511477623811
"DYRK3",1.01167202099582,0.000229386209906265,0.0150986293410168
"RCL1",0.387545246590236,0.000229761431420025,0.0150986293410168
"MAP3K8",0.497065933828353,0.000230336714380499,0.0150986293410168
"COPS2",0.292613532786026,0.000232150878120938,0.0151279066454971
"FEM1B",0.277166210398909,0.000232760357804961,0.0151279066454971
"INO80D",0.637275804142747,0.000233898546823422,0.0151279066454971
"MZF1",0.536439897117624,0.000236929183042932,0.0152521090156776
"CCNT1",0.299433407965149,0.000237311413395903,0.0152521090156776
"RREB1",0.520222633338964,0.000240077106256617,0.0153814918422343
"ZNF697",0.747965513799214,0.000241496612361751,0.0154240867607796
"GTF3C4",0.30336040020613,0.000243633790221465,0.0154621790788076
"ZIC5",0.774135393388046,0.000244362650085862,0.0154621790788076
"ERBIN",0.244752105805786,0.000246499110394785,0.0154711544753392
"AKIRIN2",0.465284859859922,0.000246521637712214,0.0154711544753392
"SEC24A",0.513746483980515,0.00024677543590178,0.0154711544753392
"SNHG7",0.351627545899362,0.000251447611351335,0.0156297508997577
"CXCL1",0.552553591130739,0.000254499826407811,0.0156297508997577
"ZNF484",0.440671081155947,0.000255553501434641,0.0156297508997577
"FOXD3",0.957871322819887,0.000257246269274636,0.0156297508997577
"IL11",0.706775615030151,0.000257853448966487,0.0156297508997577
"IRGQ",0.327222230451792,0.000257975472626346,0.0156297508997577
"DYRK1A",0.522664579801054,0.000259023365904029,0.0156297508997577
"RBBP6",0.520611516402656,0.000260710772401545,0.0156297508997577
"CILK1",0.467859745427367,0.000261413607405569,0.0156297508997577
"LINC02137",1.60661155721069,0.000263059189401216,0.0156297508997577
"ZNF444",0.449940581918746,0.000265954092133887,0.0156297508997577
"IFIT1",2.60204891212582,0.000267082685110289,0.0156297508997577
"CDK7",0.361915093927529,0.000267120346731768,0.0156297508997577
"SNIP1",0.626918718985517,0.000267315216954222,0.0156297508997577
"EPC1",0.603510689438166,0.000267541317521564,0.0156297508997577
"KLF2",0.915561501407737,0.000267618092556313,0.0156297508997577
"PPP3CC",0.420409938717772,0.000267658910603543,0.0156297508997577
"RAB30",0.607198552542766,0.000269181463298224,0.0156678368172449
"CYLD",0.550017337052088,0.000269844337003142,0.0156678368172449
"UBE2D1",0.343000268031524,0.000274635943039692,0.0157668803478799
"MEG9",1.34592383794121,0.000284964347383316,0.0161022575363953
"HAPSTR1",0.338084156644801,0.000285310781555061,0.0161022575363953
"DUSP5",0.386842921301132,0.000286899464010014,0.0161022575363953
"FBXW11",0.274313704113281,0.000287137118886521,0.0161022575363953
"HES1",1.00605534427319,0.000288356309732884,0.0161022575363953
"TRIB2",1.31485104143948,0.000291479855455104,0.0161468767772323
"ZSWIM9",0.497564712447366,0.000291540424074013,0.0161468767772323
"ZNF841",0.626475216289454,0.000291633817966553,0.0161468767772323
"MAP4K4",0.272234152534647,0.000292458753976438,0.0161468767772323
"OTUD4",0.323381921788295,0.000293105552615383,0.0161468767772323
"COMTD1",0.516469429118237,0.000296038268261467,0.0161699868881156
"CCDC85B",0.936356287354648,0.000296688887460933,0.0161699868881156
"NR4A2",0.969765354736397,0.000299497095635299,0.0162623126771565
"KRT10",0.325524230251264,0.000299975138432723,0.0162623126771565
"FOXA3",0.891609935789046,0.000300928487991009,0.0162708371364028
"NEDD4L",0.570038421925736,0.000305521819390831,0.0163891205897895
"MSX2",0.471076327637615,0.000308187613406751,0.0164462001160773
"CHD2",0.538014622587885,0.000308195256113984,0.0164462001160773
"NRG4",0.562266754836432,0.000309729467992707,0.0164607207026487
"ANKRD10",0.338382961025073,0.000310078161782942,0.0164607207026487
"CHRM4",1.28309716276583,0.000311510379701542,0.0164939096900003
"ARG2",1.05989191902402,0.000313296905926013,0.0165396642129851
"MIR3648-2",2.41950785157555,0.000313998912053983,0.0165396642129851
"FHIP2A",0.446188903248948,0.000320436675263301,0.0167854428977303
"ARHGAP21",0.290844716796944,0.000322805984187282,0.0167854428977303
"ZBTB45",0.379282076502115,0.000322819541339896,0.0167854428977303
"MIER1",0.34957652467229,0.00032341538709181,0.0167854428977303
"CREBBP",0.399219738532575,0.000323586676862009,0.0167854428977303
"CPEB3",1.1081478096896,0.000325351112991557,0.0168342431577758
"TLE1",0.3217987147893,0.000331196198988032,0.0169672378908837
"SHB",0.482902692269115,0.000332307749522607,0.0169672378908837
"ZNF771",0.657555606752522,0.000333179504582745,0.0169672378908837
"FBXO11",0.313106120447217,0.000333343578502671,0.0169672378908837
"ZNF555",0.86948847631855,0.000333732734716472,0.0169672378908837
"TNRC18",0.293157962418344,0.000335946674281361,0.0169952428934714
"HMOX1",0.55971709069568,0.000338489817558696,0.0170191305299727
"RSF1",0.324578622542588,0.000338871427803337,0.0170191305299727
"NHLRC1",0.652620044383349,0.000338917023470932,0.0170191305299727
"CLK4",0.515181191522555,0.000341685741117675,0.0170847286157646
"FNBP4",0.544410819373453,0.000341895195412844,0.0170847286157646
"RNF126",0.547208369355836,0.000343249672530601,0.0171105775784888
"KLF9",0.759570187376055,0.000346204963820065,0.0171452202920146
"ABHD5",0.502311022068248,0.000346395737883855,0.0171452202920146
"LINC-PINT",0.578743870753967,0.000348108148554961,0.0171452202920146
"CCN2",0.618668126817779,0.00034839241095348,0.0171452202920146
"CYTH1",0.548841491306283,0.000348977964648111,0.0171452202920146
"DEPP1",1.46351395396246,0.000351796596333905,0.0172010019996946
"EEA1",0.312534500336333,0.000353203609027493,0.0172175009081354
"IRF1",0.52320779345139,0.000353818885478856,0.0172175009081354
"RB1CC1",0.296775377917299,0.000355549683059142,0.0172606280816217
"CCDC9",0.67169346622911,0.000359651349430639,0.0174183750702924
"AKIRIN1",0.279873453416543,0.000363275795634585,0.0174483487997699
"PURA",0.359455086921116,0.000363935602955135,0.0174483487997699
"CEP350",0.267493361420231,0.000364512579131024,0.0174483487997699
"WAPL",0.39093790887967,0.000364538846144523,0.0174483487997699
"PPM1D",0.501610073192888,0.000370556191499525,0.0176138001744737
"RNF38",0.501504228825535,0.000370705520949029,0.0176138001744737
"IFIH1",1.59711091297373,0.00037107502312596,0.0176138001744737
"FBXO38",0.304674897995512,0.000372117264970256,0.0176138001744737
"ENDOG",0.869681788927616,0.000373035684555588,0.0176138001744737
"PHF3",0.30102178988886,0.000374132814846661,0.0176138001744737
"MEFV",2.1766240688694,0.000375800041310517,0.0176138001744737
"PTPN12",0.247620602208248,0.000377330822160623,0.0176138001744737
"USP43",0.450313170298902,0.000377475510148718,0.0176138001744737
"ATF3",1.03235768483535,0.000378946995712971,0.0176421838231929
"ZNF12",0.354387851243607,0.000382985062148546,0.0176834924916876
"RABGGTB",0.270736377427582,0.000384982328720845,0.0176834924916876
"LATS2",0.729073237718331,0.000385631179816947,0.0176834924916876
"DNAJC2",0.376611370387283,0.00038668061556132,0.0176834924916876
"STAG2",0.254775159017171,0.000387116872042069,0.0176834924916876
"NCOR2",0.247953579988288,0.000388550749251601,0.0176864147287399
"SLC39A3",0.426928970550876,0.000392607012004809,0.0176977937440894
"LINC02092",1.46497789493928,0.000392755003671592,0.0176977937440894
"TMEM202-AS1",1.16378093512655,0.000393412345256401,0.0176977937440894
"RC3H1",0.454529042518948,0.000398112087931864,0.0176977937440894
"RNF44",0.322105279766164,0.000398282620902644,0.0176977937440894
"ARHGAP5",0.283695756634917,0.000399407026870165,0.0176977937440894
"EIF2AK3",0.491612840491344,0.000401818502626513,0.0176977937440894
"NAP1L4P1",1.381311718557,0.000401996992791587,0.0176977937440894
"DUSP8",1.51336672274027,0.000404137677420373,0.0176977937440894
"RIOK3",0.381869597864579,0.000404237981063225,0.0176977937440894
"ATG2B",0.296814475423937,0.000405245216653255,0.0176977937440894
"PDE8A",0.241390506504352,0.000405484131043837,0.0176977937440894
"CHRNA2",1.71448790529165,0.000405538482589272,0.0176977937440894
"SLU7",0.345348183780652,0.000405808354596229,0.0176977937440894
"ZEB2",0.548448110052531,0.000406119251686952,0.0176977937440894
"FBXO46",0.527580967139262,0.000407764864065555,0.0177316984931315
"ZFY",0.506923828271699,0.000410816668673808,0.0177572086785516
"RAB5A",0.272484680234712,0.00041118778292672,0.0177572086785516
"ATG14",0.332327855275967,0.000412855692491395,0.0177572086785516
"GMEB1",0.408670017935981,0.00041388407608411,0.0177572086785516
"MYLIP",0.705039473589419,0.000420449128350271,0.0179545627122775
"ARGLU1",0.289440209401229,0.000423641426395127,0.0179545627122775
"ZNF746",0.447536911784314,0.000425103857163868,0.0179545627122775
"TAFA5",0.634082609973889,0.000425397915080376,0.0179545627122775
"SLC38A2",0.321522596303384,0.000426067272504873,0.0179545627122775
"FRAT2",0.507704538219468,0.000429598796013402,0.0179682506109528
"PLEKHF2",0.520715964407508,0.000430387641514431,0.0179682506109528
"ISL2",0.742029159082166,0.000430428737376358,0.0179682506109528
"SNORC",0.460785990272739,0.00043141658834825,0.0179682506109528
"MAP4K5",0.372580637398538,0.000434971677680337,0.0179682506109528
"PPP4R3A",0.321192756763132,0.000434976939780861,0.0179682506109528
"KMT2E",0.363821969559509,0.000435183680028459,0.0179682506109528
"MAP1LC3B",0.389975922636748,0.000438016271336879,0.0179981481380573
"CLTA",0.31015646556847,0.000438143081927777,0.0179981481380573
"TIGD5",0.528847696153626,0.00043854965127471,0.0179981481380573
"IRF2BP1",0.487091984469591,0.000440909065949246,0.0180587164125665
"NME2",0.585169164966225,0.000441810091766445,0.0180594293110452
"GADD45B",1.26718883271843,0.000446648475467813,0.0180625823566869
"PRPF38B",0.321661171889663,0.000447241270277298,0.0180625823566869
"ZNF587",0.384075817332114,0.000449388483687044,0.0180625823566869
"USP44",1.85690224544565,0.000451616291823228,0.0180625823566869
"TP53BP2",0.496346739301277,0.000452576034335235,0.0180625823566869
"ZNF317",0.358703734474624,0.000453488474877425,0.0180625823566869
"LCOR",0.352223155308223,0.000453695763735296,0.0180625823566869
"KCMF1",0.313877214653722,0.000454190436311332,0.0180625823566869
"NIPBL",0.394003817287275,0.000454487523332582,0.0180625823566869
"DCP2",0.345075309168385,0.00045504331646916,0.0180625823566869
"DUSP1",0.345438059269789,0.000455143845468919,0.0180625823566869
"ASGR1",2.27636793012199,0.000457673828286949,0.0180927228288755
"PNN",0.31323152964635,0.000461850470712289,0.0181561588486746
"FBXO32",0.687926167656639,0.000462655010249134,0.0181561588486746
"LINC00543",1.59450079424573,0.000463398338850637,0.0181561588486746
"PLA2G4C",0.701052181759231,0.000463478010834976,0.0181561588486746
"FEM1C",0.604882386120374,0.000465496978016708,0.0181561588486746
"PPP2R2A",0.262774305794925,0.000467625668360843,0.0181781705757901
"USP53",0.375082917658752,0.000467840186068381,0.0181781705757901
"RFX1",0.472948636533191,0.000470094936422086,0.0182311201339556
"ZCCHC7",0.324830175711731,0.000472589368464519,0.0182658903661243
"TM9SF1",0.526038931069897,0.000472778941368027,0.0182658903661243
"ITPRIPL2",0.296079677746129,0.000474277800125282,0.0182892258093595
"RBAK",0.386769122811727,0.000477216674672916,0.0183678990526649
"ZRANB1",0.303868912533624,0.000480584228528309,0.0183916368068885
"GOLGB1",0.283431942039532,0.000480906874553199,0.0183916368068885
"ARID4A",0.416494583416604,0.000481432903986953,0.0183916368068885
"CHST7",0.468403751111011,0.00048310765901885,0.0184211834608717
"SMAGP",0.380697184889355,0.000486081663556747,0.0184231640852419
"MCPH1",0.328001753429782,0.000486765270869488,0.0184231640852419
"ARIH2OS",0.982274777415804,0.000487858446942927,0.0184304083893152
"INTS6",0.409341191203434,0.000492100810949231,0.0184945518724906
"PPP1R9B",0.271122732120083,0.000492655369652944,0.0184945518724906
"GPBP1",0.550531175946648,0.00049329547950658,0.0184945518724906
"TRIM8",0.325214508364355,0.00049339222659224,0.0184945518724906
"ACTN2",1.18689138188344,0.000496795624718532,0.0184945518724906
"FRMD6",0.521445323153452,0.000497747019308225,0.0184962792374937
"ZSWIM6",0.658401314313008,0.00049969153768281,0.0185041291628949
"LRP3",0.367603377269692,0.000503023946305087,0.0185177631408739
"ZNF227",0.388841031742001,0.000503254264697159,0.0185177631408739
"CFD",0.700440724023964,0.000503848104606752,0.0185177631408739
"TLK1",0.256512107017166,0.000504521090021972,0.0185177631408739
"ZNF302",0.272803280695134,0.000508636436004526,0.0185177631408739
"SSH2",0.352793452885654,0.000509653156630793,0.0185177631408739
"KLF4",0.832353370764114,0.000510185561481584,0.0185177631408739
"PDF",1.1127051254472,0.000510732559833502,0.0185177631408739
"LRIF1",0.477206720507788,0.000511009805825074,0.0185177631408739
"CD83",1.08519516366299,0.000512245743376143,0.0185296964657019
"CRAMP1",0.469408296199851,0.000513191044504931,0.0185310928756038
"INAFM1",0.728477462224351,0.000515401203972055,0.0185576090853136
"CEP162",0.523670757181014,0.000515816006212893,0.0185576090853136
"TOR4A",0.40263799645357,0.000516649357546894,0.0185576090853136
"RPL9P29",1.273148095113,0.000521594365051708,0.0186620052971576
"NDEL1",0.374862196364004,0.000522092560890253,0.0186620052971576
"CIR1",0.386509073695986,0.000522295089048543,0.0186620052971576
"SOCS5",0.258216272374735,0.000523647419887864,0.0186776718458432
"NEXN",0.663940904715112,0.000524915346205132,0.0186875137935672
